10	1000
20110318_0007	0	761
20110318_0007	0	754
20110318_0007	0	762
20110318_0007	0	758
20110318_0007	0	760
20110318_0007	0	753
20110318_0007	0	768
20110318_0007	0	752
20110318_0007	0	746
20110318_0028	0	555
20110318_0028	0	544
20110318_0028	0	559
20110318_0028	0	560
20110318_0028	0	561
20110318_0028	0	563
20110318_0028	0	556
20110318_0028	0	550
20110318_0028	0	548
20110318_0028	0	540
20110318_0028	0	558
20110319_0017	0	679
20110319_0017	0	684
20110319_0017	0	676
20110319_0017	0	683
20110319_0017	0	672
20110319_0017	0	681
20110319_0017	0	668
20110319_0017	0	669
20110319_0017	0	687
20110319_0017	0	682
20110319_0017	0	678
20110319_0020	0	678
20110319_0020	0	693
20110319_0020	0	675
20110319_0020	0	673
20110319_0020	0	691
20110319_0020	0	683
20110319_0020	0	689
20110319_0020	0	688
20110319_0020	0	685
20110319_0032	0	807
20110319_0032	0	792
20110319_0032	0	784
20110319_0032	0	793
20110319_0032	0	795
20110319_0032	0	801
20110319_0032	0	785
20110319_0032	0	794
20110319_0032	0	789
20110319_0032	0	804
20110319_0032	0	791
20110319_0040	0	757
20110319_0040	0	741
20110319_0040	0	740
20110319_0040	0	748
20110319_0040	0	759
20110319_0040	0	752
20110319_0040	0	762
20110319_0040	0	746
20110319_0040	0	755
20110319_0051	0	727
20110319_0051	0	729
20110319_0051	0	738
20110319_0051	0	720
20110319_0051	0	725
20110319_0051	0	717
20110319_0051	0	731
20110319_0051	0	719
20110319_0051	0	718
20110319_0051	0	715
20110319_0071	0	788
20110319_0071	0	785
20110319_0071	0	768
20110319_0071	0	787
20110319_0071	0	779
20110319_0071	0	784
20110319_0071	0	775
20110319_0071	0	769
20110319_0071	0	772
20110319_0071	0	780
20110319_0071	0	781
20110319_0071	0	782
20110319_0071	0	773
20110319_0071	0	786
20110319_0071	0	767
20110319_0071	0	770
20110319_0073	0	743
20110319_0073	0	754
20110319_0073	0	734
20110319_0073	0	738
20110319_0073	0	732
20110319_0073	0	737
20110319_0075	0	817
20110319_0075	0	813
20110319_0075	0	809
20110319_0075	0	804
20110319_0075	0	803
20110319_0075	0	794
20110319_0075	0	810
20110319_0075	0	805
20110319_0075	0	806
20110319_0075	0	798
20110319_0075	0	795
20110319_0078	0	731
20110319_0078	0	741
20110319_0078	0	727
20110319_0078	0	729
20110319_0078	0	724
20110319_0078	0	728
20110319_0078	0	718
20110319_0078	0	738
20110319_0078	0	740
20110319_0078	0	734
20110319_0078	0	725
20110319_0078	0	732
20110319_0078	0	721
20110319_0078	0	726
20110319_0094	0	660
20110319_0094	0	658
20110319_0094	0	674
20110319_0094	0	663
20110319_0094	0	653
20110319_0094	0	666
20110319_0094	0	672
20110319_0094	0	662
20110319_0094	0	668
20110319_0094	0	675
20110319_0094	0	657
20110319_0094	0	669
20110319_0094	0	667
20110319_0094	0	665
20110319_0094	0	670
20110319_0094	0	671
20110319_0094	0	673
20110319_0111	0	844
20110319_0111	0	850
20110319_0111	0	859
20110319_0111	0	851
20110319_0111	0	846
20110319_0111	0	849
20110319_0111	0	857
20110319_0111	0	866
20110319_0111	0	847
20110319_0111	0	863
20110319_0111	0	861
20110319_0111	0	865
20110319_0111	0	860
20110319_0128	0	711
20110319_0128	0	708
20110319_0128	0	717
20110319_0128	0	701
20110319_0128	0	705
20110319_0128	0	718
20110319_0128	0	723
20110319_0128	0	720
20110319_0128	0	704
20110319_0128	0	712
20110319_0128	0	710
20110319_0128	0	716
20110319_0128	0	715
20110319_0145	0	807
20110319_0145	0	801
20110319_0145	0	806
20110319_0145	0	824
20110319_0145	0	814
20110319_0145	0	822
20110319_0145	0	803
20110319_0145	0	815
20110319_0145	0	802
20110319_0145	0	818
20110319_0145	0	821
20110319_0149	0	847
20110319_0149	0	844
20110319_0149	0	857
20110319_0149	0	840
20110319_0149	0	853
20110319_0149	0	850
20110319_0149	0	851
20110319_0153	0	738
20110319_0153	0	733
20110319_0153	0	722
20110319_0153	0	732
20110319_0153	0	729
20110319_0153	0	734
20110319_0153	0	724
20110319_0153	0	742
20110319_0153	0	737
20110319_0153	0	726
20110319_0153	0	736
20110319_0153	0	721
20110319_0153	0	735
20110319_0170	0	786
20110319_0170	0	780
20110319_0170	0	789
20110319_0170	0	793
20110319_0170	0	788
20110319_0170	0	798
20110319_0170	0	781
