10	2000
20110318_0004	0	799
20110318_0004	0	789
20110318_0004	0	800
20110318_0004	0	787
20110318_0004	0	785
20110318_0004	0	788
20110318_0004	0	791
20110318_0004	0	779
20110318_0004	0	786
20110318_0004	0	801
20110318_0004	0	793
20110318_0004	0	794
20110318_0004	0	782
20110318_0004	0	797
20110318_0004	0	802
20110318_0004	0	792
20110318_0004	0	790
20110318_0004	0	796
20110318_0004	0	798
20110318_0004	0	783
20110318_0004	0	781
20110318_0005	0	701
20110318_0005	0	700
20110318_0005	0	691
20110318_0005	0	682
20110318_0005	0	703
20110318_0005	0	681
20110318_0005	0	704
20110318_0005	0	685
20110318_0005	0	687
20110318_0005	0	690
20110318_0005	0	695
20110318_0005	0	683
20110318_0005	0	694
20110318_0005	0	684
20110318_0005	0	680
20110318_0005	0	689
20110318_0005	0	692
20110318_0005	0	698
20110318_0005	0	688
20110318_0005	0	696
20110318_0024	0	628
20110318_0024	0	629
20110318_0024	0	642
20110318_0024	0	645
20110318_0024	0	630
20110318_0024	0	632
20110318_0024	0	635
20110318_0024	0	634
20110318_0024	0	627
20110318_0024	0	644
20110318_0024	0	633
20110318_0024	0	622
20110318_0024	0	641
20110318_0024	0	643
20110318_0024	0	623
20110318_0024	0	636
20110318_0024	0	637
20110318_0024	0	625
20110318_0024	0	638
20110318_0040	0	678
20110318_0040	0	665
20110318_0040	0	661
20110318_0040	0	679
20110318_0040	0	672
20110318_0040	0	663
20110318_0040	0	674
20110318_0040	0	664
20110318_0040	0	677
20110318_0040	0	676
20110318_0040	0	667
20110318_0040	0	681
20110318_0040	0	680
20110318_0040	0	669
20110318_0040	0	666
20110318_0040	0	675
20110318_0040	0	670
20110318_0040	0	673
20110319_0022	0	733
20110319_0022	0	738
20110319_0022	0	737
20110319_0022	0	741
20110319_0022	0	745
20110319_0022	0	754
20110319_0022	0	746
20110319_0022	0	753
20110319_0022	0	752
20110319_0022	0	740
20110319_0022	0	750
20110319_0022	0	742
20110319_0022	0	744
20110319_0022	0	736
20110319_0022	0	735
20110319_0022	0	748
20110319_0022	0	747
20110319_0022	0	732
20110319_0022	0	755
20110319_0022	0	751
20110319_0027	0	808
20110319_0027	0	809
20110319_0027	0	793
20110319_0027	0	799
20110319_0027	0	788
20110319_0027	0	801
20110319_0027	0	803
20110319_0027	0	791
20110319_0027	0	789
20110319_0027	0	804
20110319_0027	0	790
20110319_0027	0	810
20110319_0027	0	795
20110319_0027	0	800
20110319_0027	0	811
20110319_0027	0	802
20110319_0027	0	792
20110319_0027	0	796
20110319_0027	0	798
20110319_0037	0	700
20110319_0037	0	710
20110319_0037	0	696
20110319_0037	0	707
20110319_0037	0	690
20110319_0037	0	703
20110319_0037	0	692
20110319_0037	0	711
20110319_0037	0	693
20110319_0037	0	712
20110319_0037	0	694
20110319_0037	0	701
20110319_0037	0	689
20110319_0037	0	699
20110319_0037	0	698
20110319_0037	0	708
20110319_0037	0	697
20110319_0037	0	691
20110319_0037	0	706
20110319_0037	0	713
20110319_0087	0	851
20110319_0087	0	865
20110319_0087	0	866
20110319_0087	0	849
20110319_0087	0	847
20110319_0087	0	859
20110319_0087	0	850
20110319_0087	0	863
20110319_0087	0	868
20110319_0087	0	848
20110319_0087	0	867
20110319_0087	0	860
20110319_0087	0	861
20110319_0087	0	854
20110319_0087	0	856
20110319_0087	0	857
20110319_0087	0	864
20110319_0087	0	862
20110319_0091	0	722
20110319_0091	0	720
20110319_0091	0	717
20110319_0091	0	701
20110319_0091	0	715
20110319_0091	0	723
20110319_0091	0	714
20110319_0091	0	721
20110319_0091	0	719
20110319_0091	0	709
20110319_0091	0	702
20110319_0091	0	703
20110319_0091	0	706
20110319_0091	0	705
20110319_0091	0	713
20110319_0091	0	716
20110319_0091	0	724
20110319_0091	0	700
20110319_0091	0	711
20110319_0091	0	707
20110319_0100	0	693
20110319_0100	0	679
20110319_0100	0	687
20110319_0100	0	673
20110319_0100	0	671
20110319_0100	0	684
20110319_0100	0	676
20110319_0100	0	691
20110319_0100	0	689
20110319_0100	0	680
20110319_0100	0	690
20110319_0100	0	694
20110319_0100	0	686
20110319_0100	0	688
20110319_0100	0	692
20110319_0100	0	695
20110319_0122	0	719
20110319_0122	0	711
20110319_0122	0	713
20110319_0122	0	709
20110319_0122	0	722
20110319_0122	0	721
20110319_0122	0	725
20110319_0122	0	720
20110319_0122	0	730
20110319_0122	0	715
20110319_0122	0	716
20110319_0122	0	710
20110319_0122	0	732
20110319_0122	0	724
20110319_0122	0	712
20110319_0122	0	718
20110319_0122	0	708
20110319_0122	0	714
20110319_0176	0	709
20110319_0176	0	708
20110319_0176	0	718
20110319_0176	0	703
20110319_0176	0	721
20110319_0176	0	719
20110319_0176	0	714
20110319_0176	0	701
20110319_0176	0	712
20110319_0176	0	723
20110319_0176	0	711
20110319_0176	0	704
20110319_0176	0	717
20110319_0176	0	720
20110319_0176	0	722
20110319_0176	0	700
20110319_0176	0	713
20110319_0176	0	716
20110319_0176	0	705
20110319_0176	0	706
20110319_0177	0	653
20110319_0177	0	661
20110319_0177	0	651
20110319_0177	0	646
20110319_0177	0	656
