2	400
n000001	000037	000137
n000001	000045	000048
n000001	000065	000091
n000001	000081	000100
n000001	000020	000088
n000001	000084	000103
n000001	000098	000100
n000001	000033	000094
n000001	000063	000131
n000001	000051	000093
n000001	000073	000129
n000001	000017	000055
n000001	000073	000078
n000001	000020	000079
n000001	000085	000102
n000001	000041	000131
n000001	000041	000059
n000001	000044	000098
n000001	000020	000075
n000001	000066	000137
n000001	000027	000135
n000001	000091	000101
n000001	000053	000084
n000001	000053	000076
n000001	000084	000099
n000001	000073	000108
n000001	000078	000088
n000001	000041	000079
n000001	000093	000110
n000001	000027	000039
n000001	000036	000068
n000001	000025	000045
n000001	000040	000098
n000001	000019	000080
n000001	000047	000132
n000001	000022	000056
n000001	000015	000077
n000001	000025	000097
n000001	000074	000108
n000001	000038	000101
n000001	000057	000062
n000001	000028	000052
n000001	000023	000101
n000001	000020	000135
n000001	000044	000108
n000001	000025	000053
n000001	000057	000136
n000001	000028	000088
n000001	000021	000063
n000001	000032	000100
n000001	000044	000137
n000001	000035	000060
n000001	000027	000046
n000001	000015	000088
n000001	000070	000097
n000001	000029	000034
n000001	000026	000036
n000001	000020	000035
n000001	000023	000078
n000001	000062	000067
n000001	000040	000048
n000001	000048	000098
n000001	000032	000130
n000001	000044	000100
n000001	000087	000136
n000001	000028	000099
n000001	000042	000063
n000001	000068	000074
n000001	000096	000098
n000001	000021	000046
n000001	000038	000095
n000001	000051	000094
n000001	000027	000028
n000001	000030	000053
n000001	000034	000051
n000001	000081	000106
n000001	000098	000138
n000001	000076	000111
n000001	000060	000068
n000001	000045	000067
n000001	000078	000089
n000001	000019	000065
n000001	000044	000067
n000001	000111	000129
n000001	000096	000103
n000001	000077	000094
n000001	000042	000092
n000001	000019	000103
n000001	000084	000136
n000001	000028	000137
n000001	000033	000084
n000001	000016	000062
n000001	000023	000102
n000001	000038	000065
n000001	000102	000134
n000001	000072	000103
n000001	000038	000062
n000001	000100	000130
n000001	000024	000084
n000003	000106	000128
n000003	000021	000107
n000003	000024	000133
n000003	000081	000095
n000003	000017	000021
n000003	000058	000098
n000003	000070	000071
n000003	000058	000167
n000003	000063	000086
n000003	000011	000090
n000003	000027	000105
n000003	000083	000124
n000003	000009	000093
n000003	000109	000119
n000003	000052	000129
n000003	000066	000166
n000003	000118	000132
n000003	000017	000103
n000003	000104	000169
n000003	000068	000092
n000003	000021	000097
n000003	000070	000105
n000003	000022	000025
n000003	000101	000133
n000003	000016	000028
n000003	000119	000122
n000003	000088	000108
n000003	000096	000107
n000003	000083	000093
n000003	000020	000081
n000003	000053	000126
n000003	000074	000161
n000003	000065	000118
n000003	000058	000085
n000003	000067	000125
n000003	000016	000066
n000003	000106	000111
n000003	000028	000118
n000003	000117	000124
n000003	000101	000132
n000003	000027	000085
n000003	000107	000128
n000003	000107	000124
n000003	000063	000118
n000003	000120	000126
n000003	000127	000164
n000003	000006	000112
n000003	000080	000120
n000003	000059	000123
n000003	000094	000106
n000003	000011	000062
n000003	000023	000028
n000003	000122	000133
n000003	000018	000055
n000003	000016	000163
n000003	000081	000131
n000003	000083	000118
n000003	000076	000101
n000003	000113	000114
n000003	000059	000073
n000003	000067	000162
n000003	000074	000082
n000003	000015	000162
n000003	000075	000101
n000003	000019	000074
n000003	000077	000163
n000003	000080	000097
n000003	000069	000109
n000003	000116	000130
n000003	000095	000167
n000003	000065	000109
n000003	000061	000095
n000003	000054	000125
n000003	000050	000054
n000003	000058	000164
n000003	000022	000068
n000003	000118	000166
n000003	000006	000092
n000003	000105	000123
n000003	000055	000117
n000003	000023	000161
n000003	000055	000090
n000003	000072	000083
n000003	000011	000091
n000003	000011	000165
n000003	000011	000055
n000003	000009	000096
n000003	000123	000128
n000003	000008	000064
n000003	000056	000058
n000003	000105	000129
n000003	000114	000115
n000003	000056	000084
n000003	000098	000131
n000003	000028	000055
n000003	000051	000070
n000003	000074	000115
n000003	000063	000130
n000003	000112	000162
n000003	000019	000166
n000003	000051	000113
n000003	000027	000170
n000003	000086	000163
n000003	000010	000024
n000003	000117	000131
n000005	000018	000036
n000005	000015	000037
n000005	000014	000038
n000005	000027	000042
n000005	000009	000041
n000005	000018	000040
n000005	000010	000033
n000005	000036	000040
n000005	000017	000030
n000005	000022	000040
n000005	000017	000022
n000005	000012	000036
n000005	000004	000042
n000005	000037	000042
n000005	000012	000021
n000005	000025	000036
n000005	000013	000035
n000005	000018	000031
n000005	000031	000033
n000005	000004	000017
n000005	000042	000044
n000005	000029	000044
n000005	000012	000040
n000005	000033	000038
n000005	000015	000046
n000005	000036	000043
n000005	000009	000032
n000005	000026	000046
n000005	000007	000010
n000005	000018	000043
n000005	000010	000039
n000005	000005	000032
n000005	000027	000029
n000005	000022	000027
n000005	000003	000009
n000005	000008	000015
n000005	000010	000036
n000005	000039	000042
n000005	000016	000021
n000005	000013	000029
n000005	000007	000041
n000005	000018	000044
n000005	000026	000034
n000005	000010	000013
n000005	000012	000029
n000005	000017	000029
n000005	000031	000032
n000005	000035	000044
n000005	000010	000017
n000005	000015	000038
n000005	000005	000014
n000005	000026	000041
n000005	000038	000043
n000005	000007	000030
n000005	000033	000035
n000005	000021	000025
n000005	000016	000034
n000005	000004	000022
n000005	000005	000037
n000005	000021	000029
n000005	000011	000029
n000005	000007	000011
n000005	000011	000026
n000005	000017	000043
n000005	000006	000038
n000005	000003	000029
n000005	000011	000038
n000005	000035	000038
n000005	000021	000031
n000005	000025	000044
n000005	000016	000038
n000005	000006	000007
n000005	000038	000040
n000005	000003	000036
n000005	000022	000036
n000005	000006	000010
n000005	000013	000021
n000005	000009	000014
n000005	000017	000038
n000005	000007	000040
n000005	000012	000018
n000005	000003	000010
n000005	000018	000035
n000005	000025	000031
n000005	000012	000038
n000005	000027	000036
n000008	000051	000063
n000008	000058	000137
n000008	000084	000098
n000008	000061	000084
n000008	000098	000130
n000008	000077	000140
n000008	000077	000139
n000008	000077	000143
n000008	000093	000130
n000008	000067	000098
n000008	000061	000131
n000008	000067	000084
n000008	000074	000137
n000008	000051	000073
n000008	000094	000130
n000008	000136	000138
n000008	000095	000139
n000008	000141	000143
n000008	000067	000135
n000008	000073	000093
n000008	000133	000138
n000008	000077	000137
n000008	000073	000132
n000008	000080	000095
n000008	000078	000098
n000008	000135	000139
n000008	000132	000133
n000008	000131	000137
n000008	000086	000142
n000008	000095	000134
n000008	000073	000136
n000008	000070	000141
n000008	000063	000077
n000008	000098	000140
n000008	000061	000070
n000008	000073	000134
n000008	000085	000135
n000008	000077	000131
n000008	000096	000134
n000008	000061	000139
n000008	000096	000133
n000008	000058	000097
n000008	000063	000142
n000008	000080	000097
n000008	000095	000142
n000008	000094	000136
n000008	000085	000140
n000008	000063	000097
n000008	000051	000132
n000008	000051	000143
n000008	000061	000097
n000008	000098	000134
n000008	000074	000139
n000008	000061	000067
n000008	000067	000080
n000008	000070	000139
n000008	000135	000136
n000008	000061	000072
n000008	000134	000138
n000008	000078	000141
n000008	000070	000072
n000008	000070	000140
n000008	000096	000141
n000008	000132	000134
n000008	000097	000131
n000008	000063	000139
n000008	000067	000077
n000008	000084	000138
n000008	000093	000141
n000008	000058	000080
n000008	000085	000130
n000008	000074	000136
n000008	000063	000130
n000008	000094	000135
n000008	000061	000133
n000008	000072	000085
n000008	000141	000142
n000008	000074	000093
n000008	000097	000140
n000008	000058	000142
n000008	000138	000143
n000008	000067	000096
n000008	000086	000097
n000008	000093	000096
n000008	000139	000140
n000008	000086	000098
n000008	000078	000142
n000008	000078	000084
n000008	000072	000132
n000008	000070	000095
n000008	000080	000084
n000008	000084	000141
n000008	000085	000136
n000008	000051	000140
n000008	000051	000131
n000008	000072	000074
n000008	000070	000086
n000008	000063	000140
n000008	000080	000085
n000008	000051	000093
n000008	000080	000132
n000008	000072	000142
n000008	000067	000134
n000008	000131	000143
n000008	000098	000141
n000008	000096	000139
n000008	000093	000138
n000008	000080	000142
n000008	000063	000070
n000008	000070	000084
n000001	000054	n000008	000093
n000001	000050	n000008	000093
n000001	000054	n000005	000007
n000001	000035	n000005	000029
n000001	000106	n000003	000096
n000001	000092	n000008	000098
n000001	000093	n000008	000077
n000001	000068	n000005	000003
n000001	000060	n000005	000042
n000001	000057	n000003	000016
n000001	000016	n000008	000141
n000001	000074	n000005	000022
n000001	000030	n000008	000061
n000001	000075	n000003	000118
n000001	000136	n000003	000072
n000001	000027	n000003	000133
n000001	000133	n000003	000051
n000001	000027	n000005	000022
n000001	000133	n000005	000036
n000001	000108	n000005	000008
n000001	000018	n000003	000166
n000001	000076	n000005	000040
n000001	000046	n000008	000085
n000001	000043	n000005	000012
n000001	000075	n000008	000061
n000001	000107	n000003	000023
n000001	000019	n000003	000169
n000001	000031	n000003	000059
n000001	000022	n000008	000086
n000001	000044	n000003	000081
n000001	000057	n000003	000122
n000001	000090	n000003	000170
n000001	000035	n000005	000004
n000001	000046	n000003	000069
n000001	000102	n000008	000086
n000001	000059	n000008	000097
n000001	000039	n000005	000032
n000001	000021	n000005	000030
n000001	000108	n000005	000010
n000001	000064	n000008	000073
n000001	000056	n000005	000035
n000001	000074	n000005	000005
n000001	000036	n000008	000133
n000001	000045	n000008	000094
n000001	000052	n000003	000114
n000001	000106	n000008	000132
n000001	000035	n000003	000063
n000001	000110	n000005	000037
n000001	000137	n000008	000138
n000001	000079	n000003	000134
n000001	000065	n000008	000097
n000001	000030	n000008	000077
n000001	000097	n000008	000130
n000001	000099	n000003	000027
n000001	000068	n000008	000141
n000001	000130	n000008	000134
n000001	000029	n000008	000067
n000001	000045	n000003	000108
n000001	000020	n000005	000015
n000001	000133	n000008	000074
n000001	000075	n000008	000131
n000001	000051	n000008	000061
n000001	000100	n000008	000058
n000001	000079	n000008	000141
n000001	000095	n000005	000003
n000001	000102	n000008	000131
n000001	000095	n000005	000033
n000001	000047	n000003	000113
n000001	000108	n000003	000133
n000001	000056	n000008	000142
n000001	000089	n000005	000013
n000001	000081	n000005	000037
n000001	000015	n000003	000092
n000001	000045	n000003	000123
n000001	000020	n000005	000010
n000001	000092	n000008	000073
n000001	000049	n000008	000141
n000001	000080	n000008	000084
n000001	000106	n000005	000041
n000001	000032	n000003	000168
n000001	000090	n000005	000022
n000001	000031	n000005	000027
n000001	000080	n000003	000069
n000001	000099	n000008	000070
n000001	000080	n000003	000113
n000001	000044	n000003	000116
n000001	000069	n000003	000089
n000001	000059	n000003	000131
n000001	000085	n000003	000096
n000001	000032	n000008	000070
n000001	000133	n000008	000133
n000001	000028	n000008	000080
n000001	000028	n000005	000046
n000001	000090	n000003	000024
n000001	000046	n000003	000133
n000001	000101	n000005	000034
n000001	000075	n000003	000061
n000001	000048	n000003	000096
n000001	000064	n000003	000007
n000001	000055	n000003	000167
n000001	000036	n000005	000025
n000001	000048	n000005	000031
n000001	000017	n000003	000123
n000001	000063	n000005	000007
n000001	000033	n000003	000020
n000001	000057	n000003	000077
n000001	000048	n000008	000061
n000001	000108	n000008	000093
n000001	000136	n000005	000032
n000001	000096	n000003	000094
n000001	000048	n000003	000010
n000001	000077	n000008	000134
n000001	000086	n000003	000019
n000001	000036	n000003	000021
n000001	000085	n000008	000130
n000001	000044	n000003	000082
n000001	000088	n000005	000044
n000001	000060	n000005	000022
n000001	000032	n000008	000142
n000001	000023	n000005	000031
n000001	000067	n000008	000095
n000001	000038	n000003	000100
n000001	000072	n000005	000015
n000001	000096	n000008	000139
n000001	000038	n000008	000094
n000001	000090	n000008	000070
n000001	000100	n000003	000081
n000001	000096	n000008	000141
n000001	000018	n000005	000035
n000001	000018	n000003	000129
n000001	000091	n000008	000051
n000001	000038	n000008	000070
n000001	000015	n000003	000114
n000001	000072	n000005	000040
n000001	000097	n000005	000013
n000001	000048	n000005	000006
n000001	000037	n000003	000072
n000001	000086	n000008	000143
n000001	000131	n000003	000022
n000001	000060	n000008	000078
n000001	000132	n000003	000095
n000001	000088	n000003	000011
n000001	000047	n000005	000043
n000001	000088	n000008	000138
n000001	000046	n000005	000026
n000001	000037	n000008	000074
n000001	000099	n000005	000042
n000001	000023	n000008	000095
n000001	000030	n000008	000136
n000001	000098	n000008	000086
n000001	000081	n000003	000163
n000001	000045	n000005	000018
n000001	000049	n000005	000040
n000001	000078	n000008	000097
n000001	000028	n000003	000118
n000001	000040	n000003	000101
n000001	000025	n000005	000009
n000001	000060	n000005	000012
n000001	000080	n000005	000014
n000001	000026	n000008	000131
n000001	000058	n000003	000069
n000001	000077	n000003	000119
n000001	000055	n000008	000077
n000001	000057	n000005	000032
n000001	000137	n000003	000067
n000001	000087	n000003	000009
n000001	000098	n000005	000021
n000001	000091	n000005	000007
n000001	000108	n000003	000077
n000001	000023	n000005	000021
n000001	000029	n000008	000063
n000001	000087	n000005	000012
n000001	000021	n000005	000044
n000001	000084	n000005	000010
n000001	000027	n000008	000098
n000001	000038	n000005	000040
n000001	000019	n000005	000015
n000001	000099	n000008	000058
n000001	000134	n000005	000008
n000001	000058	n000005	000013
n000001	000099	n000003	000024
n000001	000058	n000008	000131
n000001	000088	n000008	000130
n000001	000016	n000008	000080
n000001	000134	n000005	000030
n000001	000024	n000008	000097
n000001	000068	n000003	000085
n000001	000107	n000005	000025
n000001	000058	n000003	000076
n000001	000019	n000005	000014
n000001	000059	n000005	000042
n000001	000095	n000008	000131
n000001	000018	n000005	000038
n000001	000016	n000005	000033
n000001	000080	n000008	000133
n000001	000029	n000003	000112
n000001	000018	n000003	000125
n000001	000030	n000005	000025
n000001	000075	n000008	000136
n000001	000065	n000003	000093
n000003	000010	n000005	000026
n000003	000109	n000005	000039
n000003	000065	n000005	000018
n000003	000169	n000005	000009
n000003	000123	n000005	000029
n000003	000165	n000005	000025
n000003	000065	n000005	000017
n000003	000065	n000008	000072
n000003	000024	n000005	000013
n000003	000161	n000005	000010
n000003	000053	n000005	000027
n000003	000161	n000005	000044
n000003	000057	n000008	000093
n000003	000025	n000008	000140
n000003	000062	n000008	000138
n000003	000108	n000008	000131
n000003	000093	n000008	000132
n000003	000018	n000005	000032
n000003	000128	n000008	000063
n000003	000115	n000005	000010
n000003	000028	n000008	000097
n000003	000055	n000008	000133
n000003	000023	n000005	000039
n000003	000115	n000005	000017
n000003	000126	n000008	000131
n000003	000073	n000005	000010
n000003	000075	n000008	000137
n000003	000063	n000005	000006
n000003	000167	n000005	000040
n000003	000126	n000008	000080
n000003	000103	n000005	000041
n000003	000087	n000005	000007
n000003	000075	n000008	000140
n000003	000025	n000008	000073
n000003	000104	n000005	000017
n000003	000095	n000005	000036
n000003	000091	n000008	000085
n000003	000053	n000005	000043
n000003	000067	n000005	000046
n000003	000051	n000008	000138
n000003	000100	n000008	000067
n000003	000118	n000005	000025
n000003	000068	n000005	000043
n000003	000124	n000005	000032
n000003	000076	n000005	000032
n000003	000074	n000008	000093
n000003	000051	n000005	000037
n000003	000116	n000008	000073
n000003	000061	n000005	000026
n000003	000130	n000005	000036
n000003	000094	n000005	000011
n000003	000094	n000008	000095
n000003	000072	n000005	000013
n000003	000165	n000008	000080
n000003	000055	n000008	000130
n000003	000081	n000005	000031
n000003	000054	n000005	000005
n000003	000130	n000008	000085
n000003	000066	n000008	000084
n000003	000062	n000008	000061
n000003	000007	n000005	000030
n000003	000017	n000005	000037
n000003	000123	n000005	000041
n000003	000062	n000005	000036
n000003	000119	n000008	000067
n000003	000073	n000008	000070
n000003	000096	n000005	000036
n000003	000018	n000005	000016
n000003	000096	n000005	000026
n000003	000083	n000008	000084
n000003	000165	n000005	000033
n000003	000111	n000008	000137
n000003	000100	n000005	000040
n000003	000051	n000008	000080
n000003	000008	n000005	000035
n000003	000017	n000005	000018
n000003	000082	n000008	000074
n000003	000023	n000008	000058
n000003	000092	n000008	000094
n000003	000052	n000005	000034
n000003	000091	n000008	000061
n000003	000128	n000005	000005
n000003	000010	n000008	000131
n000003	000055	n000005	000029
n000003	000130	n000005	000017
n000003	000067	n000008	000080
n000003	000075	n000008	000085
n000003	000110	n000008	000137
n000003	000163	n000005	000039
n000003	000118	n000005	000046
n000003	000070	n000005	000011
n000003	000090	n000008	000078
n000003	000080	n000005	000017
n000003	000114	n000005	000005
n000003	000011	n000008	000094
n000003	000086	n000005	000035
n000003	000009	n000008	000078
n000003	000053	n000008	000134
n000003	000022	n000005	000041
n000003	000132	n000005	000012
n000003	000109	n000005	000034
n000003	000089	n000008	000095
n000003	000113	n000008	000061
n000003	000016	n000008	000085
n000003	000018	n000005	000013
n000003	000073	n000008	000074
n000003	000052	n000008	000135
n000003	000085	n000008	000138
n000003	000170	n000005	000038
n000003	000008	n000008	000137
n000003	000076	n000005	000025
n000003	000163	n000008	000096
n000003	000089	n000008	000073
n000003	000066	n000005	000018
n000003	000164	n000008	000063
n000003	000055	n000005	000006
n000003	000166	n000008	000086
n000003	000094	n000008	000094
n000003	000062	n000008	000080
n000003	000019	n000005	000032
n000003	000126	n000008	000078
n000003	000027	n000005	000032
n000003	000104	n000008	000086
n000003	000096	n000008	000074
n000003	000124	n000008	000080
n000003	000134	n000008	000140
n000003	000074	n000005	000006
n000003	000066	n000005	000031
n000003	000028	n000005	000026
n000003	000127	n000008	000133
n000003	000133	n000008	000067
n000003	000119	n000005	000017
n000003	000105	n000005	000025
n000003	000108	n000005	000021
n000003	000055	n000008	000094
n000003	000166	n000008	000077
n000003	000126	n000008	000063
n000003	000008	n000008	000136
n000005	000006	n000008	000137
n000005	000007	n000008	000132
n000005	000009	n000008	000095
n000005	000025	n000008	000138
n000005	000021	n000008	000096
n000005	000046	n000008	000077
n000005	000003	n000008	000093
n000005	000046	n000008	000143
n000005	000043	n000008	000073
n000005	000036	n000008	000135
n000005	000007	n000008	000095
n000005	000035	n000008	000138
n000005	000035	n000008	000093
n000005	000043	n000008	000143
n000005	000008	n000008	000051
n000005	000016	n000008	000051
n000005	000018	n000008	000085
n000005	000030	n000008	000136
n000005	000012	n000008	000067
n000005	000004	n000008	000051
n000005	000011	n000008	000134
n000005	000010	n000008	000063
n000005	000011	n000008	000084
n000005	000034	n000008	000096
n000005	000017	n000008	000096
n000005	000014	n000008	000061
n000005	000034	n000008	000132
n000005	000032	n000008	000085
n000005	000009	n000008	000063
n000005	000005	n000008	000077
n000005	000038	n000008	000070
n000005	000011	n000008	000073
n000005	000016	n000008	000094
n000005	000013	n000008	000072
n000005	000031	n000008	000098
n000005	000033	n000008	000130
n000005	000021	n000008	000070
n000005	000013	n000008	000061
n000005	000007	n000008	000058
n000005	000016	n000008	000131
n000005	000046	n000008	000080
n000005	000017	n000008	000138
n000005	000037	n000008	000084
n000005	000037	n000008	000072
n000005	000008	n000008	000096
n000005	000029	n000008	000077
n000005	000013	n000008	000073
n000005	000026	n000008	000078
n000005	000009	n000008	000142
n000005	000013	n000008	000142
n000005	000046	n000008	000093
n000005	000033	n000008	000140
n000005	000016	n000008	000061
n000005	000016	n000008	000133
n000005	000007	n000008	000136
n000005	000022	n000008	000067
n000005	000010	n000008	000080
n000005	000012	n000008	000132
n000005	000038	n000008	000140
n000005	000025	n000008	000130
n000005	000031	n000008	000133
n000005	000010	n000008	000067
n000002	000021	000034
n000002	000087	000123
n000002	000133	000145
n000002	000086	000109
n000002	000021	000157
n000002	000023	000125
n000002	000112	000147
n000002	000076	000160
n000002	000089	000147
n000002	000122	000158
n000002	000018	000126
n000002	000041	000044
n000002	000009	000156
n000002	000109	000155
n000002	000054	000111
n000002	000065	000101
n000002	000024	000161
n000002	000003	000078
n000002	000040	000158
n000002	000006	000163
n000002	000044	000097
n000002	000032	000146
n000002	000118	000127
n000002	000112	000121
n000002	000052	000148
n000002	000049	000071
n000002	000116	000132
n000002	000101	000134
n000002	000015	000064
n000002	000071	000114
n000002	000030	000110
n000002	000031	000143
n000002	000016	000153
n000002	000076	000163
n000002	000052	000094
n000002	000004	000123
n000002	000007	000137
n000002	000022	000159
n000002	000024	000064
n000002	000091	000098
n000002	000150	000154
n000002	000009	000164
n000002	000087	000122
n000002	000029	000106
n000002	000028	000102
n000002	000036	000088
n000002	000072	000077
n000002	000028	000049
n000002	000097	000137
n000002	000014	000160
n000002	000052	000083
n000002	000071	000147
n000002	000051	000132
n000002	000077	000148
n000002	000099	000127
n000002	000050	000109
n000002	000012	000146
n000002	000001	000097
n000002	000073	000158
n000002	000100	000148
n000002	000081	000088
n000002	000037	000063
n000002	000081	000159
n000002	000049	000132
n000002	000012	000085
n000002	000118	000119
n000002	000130	000147
n000002	000162	000166
n000002	000035	000095
n000002	000052	000070
n000002	000049	000067
n000002	000043	000078
n000002	000083	000150
n000002	000086	000100
n000002	000044	000131
n000002	000014	000037
n000002	000127	000137
n000002	000099	000102
n000002	000001	000071
n000002	000050	000083
n000002	000085	000103
n000002	000034	000141
n000002	000044	000054
n000002	000009	000017
n000002	000016	000071
n000002	000012	000125
n000002	000079	000130
n000002	000008	000147
n000002	000017	000088
n000002	000014	000093
n000002	000108	000111
n000002	000034	000097
n000002	000029	000148
n000002	000094	000129
n000002	000034	000132
n000002	000083	000139
n000002	000049	000122
n000002	000009	000088
n000002	000127	000153
n000002	000065	000074
n000002	000093	000112
n000002	000002	000003
n000002	000006	000075
n000004	000018	000124
n000004	000053	000056
n000004	000029	000123
n000004	000059	000060
n000004	000034	000046
n000004	000032	000065
n000004	000043	000065
n000004	000013	000037
n000004	000058	000085
n000004	000043	000103
n000004	000011	000128
n000004	000079	000082
n000004	000022	000031
n000004	000104	000119
n000004	000058	000066
n000004	000049	000098
n000004	000123	000128
n000004	000017	000110
n000004	000020	000044
n000004	000039	000086
n000004	000055	000097
n000004	000016	000103
n000004	000021	000079
n000004	000044	000065
n000004	000036	000109
n000004	000089	000126
n000004	000086	000129
n000004	000081	000111
n000004	000013	000052
n000004	000081	000088
n000004	000119	000127
n000004	000083	000128
n000004	000022	000109
n000004	000043	000107
n000004	000031	000058
n000004	000012	000066
n000004	000055	000066
n000004	000013	000103
n000004	000040	000053
n000004	000049	000084
n000004	000006	000078
n000004	000037	000078
n000004	000033	000122
n000004	000017	000094
n000004	000006	000125
n000004	000038	000086
n000004	000042	000108
n000004	000011	000064
n000004	000005	000031
n000004	000015	000124
n000004	000055	000065
n000004	000090	000094
n000004	000065	000100
n000004	000057	000108
n000004	000034	000064
n000004	000033	000108
n000004	000082	000127
n000004	000045	000124
n000004	000043	000128
n000004	000057	000100
n000004	000049	000127
n000004	000100	000107
n000004	000041	000127
n000004	000098	000099
n000004	000084	000097
n000004	000019	000053
n000004	000040	000065
n000004	000041	000088
n000004	000054	000121
n000004	000083	000107
n000004	000007	000019
n000004	000105	000107
n000004	000026	000044
n000004	000056	000098
n000004	000018	000118
n000004	000035	000128
n000004	000023	000029
n000004	000063	000077
n000004	000005	000013
n000004	000058	000076
n000004	000017	000098
n000004	000022	000088
n000004	000012	000058
n000004	000026	000127
n000004	000030	000035
n000004	000042	000043
n000004	000051	000058
n000004	000006	000022
n000004	000049	000063
n000004	000032	000092
n000004	000059	000091
n000004	000085	000108
n000004	000037	000063
n000004	000025	000032
n000004	000005	000007
n000004	000041	000082
n000004	000052	000103
n000004	000062	000124
n000004	000052	000122
n000004	000012	000023
n000004	000007	000124
n000004	000040	000124
n000004	000027	000029
n000004	000011	000086
n000004	000022	000025
n000006	000015	000036
n000006	000020	000025
n000006	000000	000117
n000006	000011	000128
