10	500
n000078	0104_01	0256_01
n000078	0150_02	0281_01
n000078	0082_01	0556_02
n000078	0240_02	0563_01
n000078	0167_01	0350_02
n000078	0087_01	0121_02
n000078	0063_01	0143_02
n000078	0049_01	0196_02
n000078	0238_01	0266_01
n000078	0015_01	0273_01
n000078	0036_02	0229_01
n000078	0140_01	0535_01
n000078	0288_01	0343_03
n000078	0081_01	0359_01
n000078	0059_01	0065_02
n000078	0128_02	0304_05
n000148	0050_01	0283_01
n000148	0107_01	0454_05
n000148	0220_01	0267_01
n000148	0338_01	0403_01
n000148	0136_01	0194_01
n000148	0435_01	0469_01
n000148	0055_01	0208_01
n000148	0026_01	0454_02
n000148	0132_01	0538_01
n000148	0194_03	0627_01
n000148	0002_01	0428_01
n000148	0274_01	0454_05
n000148	0460_02	0502_01
n000658	0202_03	0239_01
n000658	0160_01	0391_02
n000658	0083_03	0186_06
n000658	0118_01	0222_01
n000658	0069_02	0345_02
n000658	0165_01	0305_01
n000658	0207_01	0352_03
n000658	0449_01	0470_01
n000658	0217_01	0338_01
n000836	0085_02	0548_04
n000836	0050_01	0081_01
n000836	0002_01	0286_01
n000836	0102_01	0113_02
n000836	0089_02	0091_01
n000836	0561_02	0576_04
n000836	0184_05	0577_02
n000836	0001_01	0099_01
n000836	0067_01	0199_03
n000836	0108_01	0513_02
n000945	0070_01	0146_01
n000945	0026_01	0029_02
n000945	0021_01	0205_02
n000945	0224_02	0633_01
n000945	0109_01	0401_02
n000945	0050_01	0117_03
n000945	0042_01	0612_01
n000945	0106_02	0262_08
n000945	0314_01	0494_01
n000945	0556_01	0565_01
n000945	0025_02	0046_01
n000945	0253_01	0509_01
n000945	0107_01	0611_01
n000945	0010_01	0073_01
n000945	0009_01	0268_01
n000945	0001_01	0271_01
n000998	0078_01	0294_01
n000998	0004_02	0004_04
n000998	0030_03	0156_01
n000998	0121_02	0155_01
n000998	0182_01	0790_01
n000998	0135_08	0136_01
n000998	0039_01	0117_01
n000998	0084_01	0781_01
n000998	0097_01	0167_01
n000998	0163_01	0341_02
n001059	0041_02	0075_01
n001059	0455_14	0877_01
n001059	0288_02	0541_01
n001059	0548_01	1084_01
n001059	0011_01	0120_04
n001059	0035_01	0049_02
n001059	0018_02	0038_01
n001059	0008_01	0073_01
n001059	0018_02	0095_02
n001242	0058_01	0101_01
n001242	0175_01	0428_01
n001242	0300_01	0578_03
n001242	0411_02	0474_01
n001242	0257_01	0361_01
n001242	0310_01	0421_02
n001242	0159_02	0393_01
n001242	0333_01	0711_02
n001242	0090_01	0095_01
n001242	0044_01	0070_01
n001242	0074_01	0747_02
n001439	0049_01	0496_01
n001439	0227_01	0563_01
n001439	0033_01	0062_01
n001439	0101_01	0307_01
n001439	0173_02	0367_02
n001439	0068_04	0097_01
n001439	0263_01	0506_02
n001781	0106_01	0222_01
n001781	0396_01	0451_01
n001781	0266_01	0487_02
n001781	0218_02	0445_01
n001781	0098_01	0229_02
n001781	0215_02	0273_02
n001781	0067_01	0489_01
n001781	0142_01	0156_01
n001781	0133_01	0470_02
n001781	0074_01	0461_01
n001811	0049_01	0111_01
n001811	0068_01	0169_01
n001811	0202_01	0205_02
n001811	0275_04	0343_02
n001811	0014_01	0057_01
n001811	0016_01	0177_01
n001850	0076_01	0096_01
n001850	0007_01	0241_03
n001850	0179_02	0337_01
n001850	0003_01	0033_01
n001850	0033_01	0201_05
n001850	0010_01	0337_01
n001850	0024_01	0260_01
n001850	0176_01	0334_03
n001850	0012_01	0193_01
n001850	0010_01	0097_01
n001850	0137_01	0187_01
n001850	0258_05	0339_01
n001850	0014_02	0331_02
n002267	0152_01	0251_02
n002267	0061_01	0256_01
n002267	0090_01	0184_01
n002267	0162_01	0276_01
