10	4000
n000106	0073_01	0170_01
n000106	0127_01	0149_02
n000106	0094_01	0115_01
n000106	0130_01	0147_02
n000106	0312_02	0350_02
n000106	0097_01	0147_02
n000106	0080_01	0215_01
n000106	0178_02	0248_01
n000106	0035_02	0195_02
n000106	0200_01	0227_01
n000106	0069_01	0298_01
n000106	0062_01	0235_02
n000106	0090_02	0177_02
n000106	0058_02	0146_02
n000106	0136_01	0141_01
n000106	0050_01	0088_01
n000106	0141_01	0201_01
n000106	0057_01	0186_01
n000106	0195_02	0335_01
n000106	0033_01	0251_01
n000106	0035_02	0189_03
n000106	0193_02	0218_03
n000106	0162_01	0178_02
n000106	0129_01	0240_04
n000106	0089_01	0106_02
n000106	0175_02	0251_02
n000106	0149_02	0263_01
n000106	0018_01	0073_02
n000106	0135_01	0242_01
n000106	0001_03	0009_01
n000106	0170_01	0383_01
n000106	0017_01	0125_02
n000106	0111_01	0206_01
n000106	0092_01	0211_01
n000106	0011_01	0117_01
n000106	0234_01	0267_02
n000106	0169_01	0234_01
n000106	0086_01	0103_01
n000106	0046_01	0155_01
n000106	0097_01	0109_01
n000106	0100_01	0118_02
n000106	0018_01	0192_01
n000106	0055_01	0266_09
n000106	0070_02	0205_02
n000106	0046_01	0077_01
n000106	0146_02	0283_01
n000106	0012_01	0122_01
n000106	0045_01	0132_01
n000106	0146_02	0176_02
n000106	0083_01	0205_02
n000106	0034_01	0053_01
n000106	0043_01	0142_02
n000106	0251_01	0276_02
n000106	0055_01	0242_01
n000106	0209_02	0225_01
n000106	0060_02	0130_01
n000106	0249_04	0255_01
n000106	0010_01	0181_01
n000106	0038_01	0301_01
n000106	0037_01	0177_02
n000106	0172_01	0267_02
n000106	0013_01	0107_02
n000106	0060_02	0209_02
n000106	0102_01	0245_01
n000106	0129_01	0275_01
n000106	0038_01	0294_01
n000106	0090_02	0253_01
n000106	0066_01	0301_01
n000106	0033_01	0236_01
n000106	0020_01	0027_01
n000106	0077_01	0132_01
n000106	0033_01	0123_01
n000106	0056_01	0094_01
n000106	0100_01	0164_01
n000106	0124_01	0137_01
n000106	0121_01	0131_01
n000106	0038_01	0209_02
n000106	0090_02	0147_02
n000106	0061_01	0185_01
n000106	0100_01	0263_01
n000106	0011_01	0263_01
n000106	0020_01	0383_01
n000106	0188_01	0335_01
n000106	0207_02	0244_01
n000106	0181_01	0227_01
n000106	0074_01	0119_01
n000106	0004_01	0146_02
n000106	0124_01	0250_01
n000106	0044_01	0234_01
n000148	0191_02	0223_01
n000148	0125_01	0588_01
n000148	0066_01	0192_01
n000148	0107_01	0132_01
n000148	0189_01	0326_01
n000148	0223_01	0236_01
n000148	0038_01	0223_01
n000148	0139_01	0242_01
n000148	0067_01	0426_01
n000148	0220_01	0454_07
n000148	0026_01	0262_01
n000148	0030_01	0105_01
n000148	0114_01	0186_01
n000148	0065_01	0581_01
n000148	0128_01	0305_01
n000148	0216_01	0581_01
n000148	0064_01	0224_01
n000148	0242_01	0303_01
n000148	0600_01	0603_01
n000148	0432_01	0608_01
n000148	0168_01	0621_01
n000148	0401_01	0435_01
n000148	0074_01	0198_01
n000148	0215_03	0246_01
n000148	0012_01	0396_01
n000148	0111_01	0649_01
n000148	0088_01	0122_02
n000148	0051_01	0097_01
n000148	0208_01	0364_01
n000148	0460_02	0599_01
n000148	0491_01	0646_01
n000148	0390_01	0525_01
n000148	0019_01	0416_01
n000148	0017_01	0627_01
n000148	0265_01	0608_01
n000148	0094_01	0301_03
n000148	0201_01	0327_01
n000148	0097_01	0115_01
n000148	0006_01	0647_01
n000148	0086_01	0213_01
n000148	0213_01	0288_01
n000148	0160_01	0469_01
n000148	0125_01	0647_02
n000148	0040_01	0203_01
n000148	0089_01	0143_01
n000148	0035_01	0410_01
n000148	0183_01	0236_01
n000148	0195_03	0615_01
n000148	0010_01	0283_01
n000148	0418_01	0653_01
n000148	0038_01	0041_01
n000148	0374_01	0452_05
n000148	0180_01	0182_01
n000148	0152_01	0485_01
n000148	0083_01	0418_01
n000148	0171_01	0639_01
n000148	0031_01	0325_01
n000148	0178_01	0370_04
n000148	0454_06	0649_01
n000148	0600_01	0627_01
n000148	0121_01	0621_01
n000148	0147_01	0351_01
n000148	0492_01	0621_03
n000178	0089_01	0265_01
n000178	0078_01	0117_01
n000178	0030_03	0198_02
n000178	0138_01	0149_02
n000178	0037_01	0071_01
n000178	0074_01	0186_02
n000178	0072_01	0138_01
n000178	0130_01	0369_01
n000178	0046_01	0081_01
n000178	0076_01	0223_03
n000178	0021_01	0138_01
n000178	0129_06	0405_01
n000178	0079_01	0435_02
n000178	0002_01	0437_02
n000178	0033_01	0108_01
n000178	0023_01	0145_01
n000178	0003_02	0162_02
n000178	0086_01	0369_01
n000178	0042_01	0194_08
n000178	0157_01	0246_01
n000178	0411_01	0437_02
n000178	0223_03	0415_01
n000178	0048_01	0146_01
n000178	0010_01	0111_01
n000178	0018_01	0138_01
n000178	0186_02	0218_01
n000178	0078_01	0191_01
n000178	0040_01	0053_01
n000178	0106_02	0447_03
n000178	0052_01	0132_01
n000178	0001_01	0135_02
n000178	0026_01	0252_01
n000178	0001_01	0026_01
n000178	0174_02	0194_08
n000178	0010_01	0265_01
n000178	0029_01	0050_01
n000178	0110_02	0408_01
n000178	0018_01	0281_03
n000178	0223_02	0398_02
n000178	0102_01	0106_02
n000178	0078_01	0166_01
n000178	0114_01	0447_03
n000178	0085_02	0162_02
n000178	0018_01	0398_02
n000178	0093_01	0132_01
n000178	0016_01	0033_01
n000178	0232_01	0428_01
n000178	0056_01	0162_02
n000178	0069_01	0073_01
n000178	0032_01	0231_03
n000178	0083_01	0409_01
n000178	0119_01	0401_02
n000178	0086_01	0120_01
n000178	0061_01	0129_06
n000178	0025_01	0182_01
n000178	0055_01	0157_01
n000178	0026_01	0195_02
n000178	0233_01	0317_01
n000178	0030_03	0231_04
n000178	0012_01	0128_01
n000178	0113_02	0369_01
n000178	0004_01	0019_01
n000178	0096_01	0259_01
n000178	0032_01	0040_01
n000178	0032_01	0405_01
n000178	0142_01	0237_01
n000178	0028_01	0395_01
n000178	0039_01	0064_01
n000178	0049_01	0112_01
n000178	0016_01	0081_01
n000178	0007_01	0180_01
n000178	0032_01	0085_02
n000178	0031_01	0289_03
n000178	0006_01	0138_01
n000178	0010_01	0317_01
n000178	0105_01	0317_01
n000178	0265_01	0447_02
n000178	0004_01	0094_02
n000178	0028_01	0150_01
n000178	0058_01	0078_01
n000178	0030_02	0131_01
n000178	0149_02	0166_01
n000178	0069_01	0255_01
n000178	0015_01	0068_01
n000178	0097_01	0117_01
n000178	0026_01	0331_01
n000178	0073_01	0246_01
n000178	0133_04	0186_02
n000178	0038_01	0072_01
n000178	0126_01	0435_02
n000178	0030_02	0411_01
n000527	0051_02	0153_01
n000527	0127_01	0144_01
n000527	0043_01	0394_02
n000527	0161_01	0164_01
n000527	0121_01	0583_01
n000527	0419_02	0551_01
n000527	0249_01	0552_01
n000527	0065_01	0110_01
n000527	0148_01	0349_01
n000527	0074_01	0117_01
n000527	0137_01	0182_01
n000527	0216_01	0380_02
n000527	0342_02	0639_02
n000527	0141_02	0179_02
n000527	0495_02	0534_02
n000527	0069_01	0097_01
n000527	0097_01	0342_02
n000527	0169_01	0253_01
n000527	0419_02	0661_01
n000527	0051_02	0232_01
n000527	0041_03	0167_02
n000527	0434_01	0685_01
n000527	0335_01	0407_01
n000527	0289_01	0323_02
n000527	0040_01	0121_01
n000527	0172_01	0647_02
n000527	0118_01	0289_01
n000527	0137_01	0356_02
n000527	0097_01	0128_01
n000527	0120_02	0637_01
n000527	0044_01	0111_01
n000527	0127_01	0617_02
n000527	0019_02	0045_01
n000527	0230_03	0339_02
n000527	0040_01	0538_01
n000527	0023_01	0354_02
n000527	0112_01	0503_04
n000527	0354_02	0647_02
n000527	0081_01	0106_02
n000527	0335_01	0643_01
n000527	0362_01	0388_01
n000527	0088_01	0130_02
n000527	0027_01	0304_01
n000527	0199_01	0331_01
n000527	0005_02	0292_01
n000527	0057_02	0084_01
n000527	0092_01	0356_02
n000527	0039_01	0503_04
n000527	0355_05	0479_01
n000527	0216_01	0551_01
n000527	0376_02	0653_01
n000527	0065_01	0133_01
n000527	0071_01	0262_01
n000527	0090_01	0636_01
n000527	0004_01	0183_01
n000527	0309_01	0643_01
n000527	0079_01	0135_03
n000527	0061_01	0372_02
n000527	0107_02	0431_01
n000527	0372_02	0653_01
n000527	0304_01	0543_01
n000527	0109_01	0401_01
n000527	0053_01	0404_01
n000527	0137_01	0216_01
n000527	0111_01	0164_01
n000527	0112_01	0543_01
n000527	0055_02	0075_01
n000527	0021_02	0511_01
n000527	0238_01	0269_01
n000527	0119_01	0399_02
n000775	0126_02	0242_01
n000775	0244_02	0299_01
n000775	0133_02	0208_01
n000775	0175_01	0247_01
